background_id,latitude,longitude,distance_to_road_m,distance_to_river_m,nearest_road_type,nearest_road_name,nearest_road_osm_id,nearest_waterway_type,nearest_waterway_name,nearest_waterway_osm_id,road_search_radius_m,river_search_radius_m,road_extraction_ok,river_extraction_ok,roads_rivers_extraction_ok,osm_source,osm_snapshot_timestamp,distance_method
BG_0065,25.15045529444168,93.42242166200732,1462.8052343708982,99.97917976230656,unclassified,,1510024434.0,river,Makru River,385547939.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-24T11:04:51Z,local equirectangular point-to-polyline
BG_0066,27.834466453431112,88.5016726079687,4515.726135132396,1766.5696873970503,tertiary,North Sikkim Highway,598497149.0,stream,,1214471586.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-31T22:37:44Z,local equirectangular point-to-polyline
BG_0067,26.7083205293855,94.3871174046437,658.9127192188395,8018.384179625882,service,,617237904.0,river,Bhogdoi-Tsurang,155251689.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0068,24.39115860950149,94.24746786252034,750.9500919115591,484.0269927070886,unclassified,,455488946.0,river,,164510513.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T19:34:00Z,local equirectangular point-to-polyline
BG_0069,27.50804359563403,88.29389141728005,10537.379347206392,1421.9596421072963,unclassified,,1214100537.0,stream,Kauum Chu,1214315130.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-15T15:22:01Z,local equirectangular point-to-polyline
BG_0070,22.70398767431841,92.73149479420992,2101.6429072719643,2035.486210818329,residential,,1449247772.0,stream,,1449224455.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0071,23.025958512493823,92.40706749513711,628.8602131609573,2290.9085297638526,unclassified,,1449940641.0,stream,,661445393.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-15T15:22:01Z,local equirectangular point-to-polyline
BG_0072,25.091960290145742,94.6388668389186,10190.646823493418,8061.649502285472,unclassified,,1268374508.0,stream,,772793578.0,15000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T23:19:21Z,local equirectangular point-to-polyline
BG_0073,26.237758802577364,91.6003583146702,17.985797421333185,1051.707715591609,track,,510058620.0,river,,44639314.0,5000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-05-06T03:25:00Z,local equirectangular point-to-polyline
BG_0074,26.360671837454184,92.41514231798033,150.2179155397141,5131.685081679892,unclassified,,1302828394.0,river,,329687098.0,5000.0,15000.0,True,True,True,OpenStreetMap via Overpass API,2026-09-04T23:30:36Z,local equirectangular point-to-polyline
BG_0075,27.867743067268773,88.75551683447571,5299.346040371589,2789.76602976,unclassified,,1214827981.0,stream,,1350954821.0,15000.0,5000.0,True,True,True,OpenStreetMap via Overpass API,2026-07-25T21:19:50Z,local equirectangular point-to-polyline
