threshold,f1,f2,precision,recall
0.5099999999999999,0.8358862144420132,0.8113848768054376,0.880184331797235,0.7958333333333333
0.5149999999999999,0.834721613327488,0.8093861588165278,0.8806660499537465,0.7933333333333333
0.5199999999999999,0.834721613327488,0.8093861588165278,0.8806660499537465,0.7933333333333333
0.5249999999999999,0.8347978910369068,0.8083730428863172,0.8828996282527881,0.7916666666666666
0.5299999999999999,0.8350197976242851,0.8079346160395028,0.8844361602982292,0.7908333333333334
0.5349999999999999,0.8329660643455267,0.8050775259839836,0.8840037418147801,0.7875
0.5399999999999999,0.8324514991181657,0.8043626448534424,0.8838951310861424,0.7866666666666666
0.5449999999999999,0.8321554770318021,0.803206002728513,0.8853383458646616,0.785
0.5499999999999999,0.8308237378210807,0.800614544213042,0.8865784499054821,0.7816666666666666
0.5549999999999999,0.8310421286031042,0.8001707941929974,0.8881516587677725,0.7808333333333334
0.5599999999999999,0.831779849090102,0.8004442166410388,0.8898385565052231,0.7808333333333334
0.565,0.8305913739439751,0.7984270815524022,0.8903717826501429,0.7783333333333333
0.57,0.8300711743772242,0.7977086183310533,0.8902671755725191,0.7775
0.575,0.8290293855743545,0.7962709544988026,0.890057361376673,0.7758333333333334
0.58,0.8282016956715752,0.7943845231980825,0.8914505283381364,0.7733333333333333
0.585,0.8255813953488372,0.7907813570939,0.890926640926641,0.7691666666666667
0.59,0.8255813953488372,0.7907813570939,0.890926640926641,0.7691666666666667
0.595,0.8263205013428827,0.7910524511484401,0.8926499032882012,0.7691666666666667
0.6,0.8261648745519713,0.7904663923182441,0.8934108527131783,0.7683333333333333
0.605,0.8249551166965888,0.7884351407000686,0.8939688715953308,0.7658333333333334
0.61,0.8233707865168539,0.7862660944206008,0.8936585365853659,0.7633333333333333
0.615,0.8225225225225226,0.7843642611683849,0.8950980392156863,0.7608333333333334
0.62,0.8209291835814163,0.7821901323706378,0.8947885939036382,0.7583333333333333
0.625,0.8207674943566592,0.7815993121238177,0.8955665024630541,0.7575
0.63,0.8206055128784455,0.7810080853259934,0.8963474827245804,0.7566666666666667
0.635,0.819538670284939,0.7795560144553433,0.8961424332344213,0.755
0.6399999999999999,0.8190045248868778,0.7788296041308089,0.8960396039603961,0.7541666666666667
0.6449999999999999,0.818305391934753,0.7775099018426037,0.8967229394240318,0.7525
0.6499999999999999,0.8176043557168784,0.7761888352860097,0.897410358565737,0.7508333333333334
0.6549999999999999,0.8163636363636364,0.7741379310344828,0.898,0.7483333333333333
0.6599999999999999,0.8163636363636364,0.7741379310344828,0.898,0.7483333333333333
0.6649999999999999,0.816196542311192,0.773542600896861,0.8987975951903807,0.7475
0.6699999999999999,0.8151183970856102,0.7720841959972394,0.8985943775100401,0.7458333333333333
0.6749999999999999,0.8149498632634458,0.7714877459440801,0.8993963782696177,0.745
0.6799999999999999,0.8133272478320401,0.7692971852875151,0.8990918264379415,0.7425
0.6849999999999999,0.8109839816933638,0.7657735522904062,0.899492385786802,0.7383333333333333
0.69,0.8095456631482332,0.7631078041183595,0.9009193054136875,0.735
0.695,0.8091954022988506,0.7619047619047619,0.9025641025641026,0.7333333333333333
0.7,0.8093922651933702,0.7614345114345115,0.904320987654321,0.7325
0.705,0.8092165898617512,0.7608318890814558,0.9051546391752577,0.7316666666666667
0.71,0.8081180811808119,0.7593619972260749,0.9049586776859504,0.73
0.715,0.8070175438596491,0.7578910856746445,0.9047619047619048,0.7283333333333334
0.72,0.8053629218677762,0.7556828040950894,0.9044652128764278,0.7258333333333333
