pair_id,state,event_date,positive_rainfall_24h_mm,background_rainfall_24h_mm,delta_rainfall_24h_mm,positive_rainfall_72h_mm,background_rainfall_72h_mm,delta_rainfall_72h_mm,positive_rainfall_7d_mm,background_rainfall_7d_mm,delta_rainfall_7d_mm,positive_rain_prev_48h_mm,background_rain_prev_48h_mm,delta_rain_prev_48h_mm,positive_rain_prev_4d_mm,background_rain_prev_4d_mm,delta_rain_prev_4d_mm,positive_ratio_24_to_72,background_ratio_24_to_72,delta_ratio_24_to_72,positive_ratio_72_to_7d,background_ratio_72_to_7d,delta_ratio_72_to_7d
1048411,Assam,2014-09-23,16.05,47.89,-31.84,248.34,98.63,149.71,308.73,146.42000000000002,162.31,232.29,50.739999999999995,181.55,60.390000000000015,47.79000000000002,12.599999999999994,0.06462913747281952,0.48555206326675454,-0.42092292579393503,0.8043921873481683,0.6736101625461002,0.13078202480206813
1050362,Assam,2015-03-19,0.0,0.04,-0.04,0.01,0.06,-0.049999999999999996,0.01,0.1,-0.09000000000000001,0.01,0.019999999999999997,-0.009999999999999997,0.0,0.04000000000000001,-0.04000000000000001,0.0,0.6666666666666667,-0.6666666666666667,1.0,0.6,0.4
1050609,Mizoram,2015-06-19,11.57,8.18,3.3900000000000006,14.36,9.22,5.139999999999999,52.94,35.48,17.46,2.789999999999999,1.040000000000001,1.7499999999999982,38.58,26.259999999999998,12.32,0.8057103064066853,0.8872017353579175,-0.08149142895123218,0.2712504722327163,0.2598647125140925,0.011385759718623822
1051726,Manipur,2015-06-19,1.13,1.69,-0.56,4.79,3.84,0.9500000000000002,26.85,23.360000000000003,3.4899999999999984,3.66,2.15,1.5100000000000002,22.060000000000002,19.520000000000003,2.539999999999999,0.23590814196242169,0.4401041666666667,-0.204196024704245,0.17839851024208564,0.16438356164383558,0.01401494859825006
1050650,Assam,2015-07-21,13.44,10.3,3.139999999999999,57.45,34.290000000000006,23.159999999999997,152.71,91.31,61.400000000000006,44.010000000000005,23.990000000000006,20.02,95.26,57.019999999999996,38.24000000000001,0.23394255874673628,0.30037911927675703,-0.06643656053002076,0.3762032610830987,0.37553389552075356,0.0006693655623451478
1057821,Manipur,2015-07-22,19.18,10.3,8.879999999999999,45.25,41.39,3.8599999999999994,128.35000000000002,117.9,10.450000000000017,26.07,31.09,-5.02,83.10000000000002,76.51,6.590000000000018,0.4238674033149171,0.24885237980188452,0.1750150235130326,0.35255161667315926,0.3510602205258694,0.0014913961472898807
1057376,Manipur,2015-07-22,11.42,14.27,-2.8499999999999996,36.7,45.06,-8.36,111.6,139.8,-28.200000000000017,25.28,30.790000000000003,-5.510000000000002,74.89999999999999,94.74000000000001,-19.840000000000018,0.3111716621253406,0.3166888592987128,-0.005517197173372235,0.3288530465949821,0.3223175965665236,0.0065354500284585115
1050671,Assam,2015-07-22,13.52,9.96,3.5599999999999987,45.3,34.7,10.599999999999994,145.73000000000002,71.1,74.63000000000002,31.779999999999998,24.740000000000002,7.039999999999996,100.43000000000002,36.39999999999999,64.03000000000003,0.29845474613686535,0.2870317002881844,0.011423045848680924,0.3108488300281342,0.4880450070323489,-0.1771961770042147
1057795,Manipur,2015-07-22,11.42,9.95,1.4700000000000006,36.7,31.26,5.440000000000001,111.6,113.34000000000002,-1.7400000000000233,25.28,21.310000000000002,3.969999999999999,74.89999999999999,82.08000000000001,-7.180000000000021,0.3111716621253406,0.31829814459372996,-0.007126482468389372,0.3288530465949821,0.2758073054526204,0.05304574114236171
1057403,Manipur,2015-07-22,11.42,19.73,-8.31,36.7,51.03,-14.329999999999998,111.6,171.72999999999996,-60.12999999999997,25.28,31.3,-6.02,74.89999999999999,120.69999999999996,-45.79999999999997,0.3111716621253406,0.3866353125612385,-0.07546365043589792,0.3288530465949821,0.297152506842136,0.03170053975284609
1055274,Manipur,2015-07-22,11.42,19.73,-8.31,36.7,51.03,-14.329999999999998,111.6,171.72999999999996,-60.12999999999997,25.28,31.3,-6.02,74.89999999999999,120.69999999999996,-45.79999999999997,0.3111716621253406,0.3866353125612385,-0.07546365043589792,0.3288530465949821,0.297152506842136,0.03170053975284609
1050805,Manipur,2015-07-24,9.2,14.44,-5.24,40.21,41.59,-1.3800000000000026,108.66,123.27,-14.61,31.01,27.150000000000006,3.859999999999996,68.44999999999999,81.67999999999999,-13.230000000000004,0.22879880626709773,0.34719884587641253,-0.1184000396093148,0.3700533775078226,0.3373894702685163,0.03266390723930629
1048518,Assam,2015-07-25,3.42,9.12,-5.699999999999999,43.940000000000005,42.07,1.8700000000000045,108.84,104.86,3.980000000000004,40.52,32.95,7.57,64.9,62.79,2.1100000000000065,0.07783340919435593,0.21678155455193723,-0.13894814535758132,0.4037118706357957,0.40120160213618156,0.0025102684996141655
1057918,Manipur,2015-07-31,69.82,76.06,-6.240000000000009,105.95,100.44,5.510000000000005,121.75,116.44,5.310000000000002,36.13000000000001,24.379999999999995,11.750000000000014,15.799999999999997,16.0,-0.20000000000000284,0.6589900896649362,0.757268020708881,-0.09827793104394478,0.8702258726899385,0.8625901751975266,0.007635697492411886
1057912,Manipur,2015-07-31,69.82,83.47,-13.650000000000006,105.95,99.45,6.5,121.75,116.24,5.510000000000005,36.13000000000001,15.980000000000004,20.150000000000006,15.799999999999997,16.789999999999992,-0.9899999999999949,0.6589900896649362,0.8393162393162393,-0.1803261496513031,0.8702258726899385,0.8555574673090159,0.014668405380922511
1057368,Manipur,2015-08-01,2.01,13.23,-11.22,81.19,101.21,-20.019999999999996,98.79999999999998,122.2,-23.40000000000002,79.17999999999999,87.97999999999999,-8.799999999999997,17.609999999999985,20.99000000000001,-3.380000000000024,0.024756743441310503,0.13071830846754273,-0.10596156502623223,0.821761133603239,0.8282324058919803,-0.0064712722887413365
1057951,Manipur,2015-08-01,0.91,4.9,-3.99,101.57999999999998,104.34,-2.7600000000000193,121.42,121.77,-0.3499999999999943,100.66999999999999,99.44,1.2299999999999898,19.840000000000018,17.429999999999993,2.410000000000025,0.008958456389052965,0.04696185547249377,-0.0380033990834408,0.8366002306045132,0.8568612958856862,-0.020261065281172996
1057769,Manipur,2015-08-01,2.01,11.75,-9.74,81.19,108.36,-27.17,98.79999999999998,125.59,-26.79000000000002,79.17999999999999,96.61,-17.430000000000007,17.609999999999985,17.230000000000004,0.37999999999998124,0.024756743441310503,0.10843484680693984,-0.08367810336562934,0.821761133603239,0.8628075483716856,-0.041046414768446615
1057839,Manipur,2015-08-01,0.77,4.9,-4.130000000000001,68.62,104.34,-35.72,84.89000000000001,121.77,-36.87999999999998,67.85000000000001,99.44,-31.58999999999999,16.27000000000001,17.429999999999993,-1.1599999999999824,0.011221218303701545,0.04696185547249377,-0.03574063716879222,0.808340204971139,0.8568612958856862,-0.04852109091454715
1057829,Manipur,2015-08-01,0.77,4.9,-4.130000000000001,68.62,104.34,-35.72,84.89000000000001,121.77,-36.87999999999998,67.85000000000001,99.44,-31.58999999999999,16.27000000000001,17.429999999999993,-1.1599999999999824,0.011221218303701545,0.04696185547249377,-0.03574063716879222,0.808340204971139,0.8568612958856862,-0.04852109091454715
1057940,Manipur,2015-08-01,0.91,3.7,-2.79,101.57999999999998,100.7,0.8799999999999812,121.42,118.29,3.1299999999999955,100.66999999999999,97.0,3.6699999999999875,19.840000000000018,17.590000000000003,2.250000000000014,0.008958456389052965,0.036742800397219465,-0.027784344008166498,0.8366002306045132,0.8512976582974047,-0.014697427692891507
1057825,Manipur,2015-08-01,1.12,8.7,-7.579999999999999,97.64,110.35,-12.709999999999994,117.65,129.76999999999998,-12.119999999999976,96.52,101.64999999999999,-5.1299999999999955,20.010000000000005,19.419999999999987,0.5900000000000176,0.011470708725931996,0.07884005437245128,-0.0673693456465193,0.8299192520186995,0.8503506203282731,-0.020431368309573594
1057865,Manipur,2015-08-01,0.77,6.56,-5.789999999999999,68.62,85.46,-16.83999999999999,84.89000000000001,99.61,-14.719999999999985,67.85000000000001,78.89999999999999,-11.049999999999983,16.27000000000001,14.150000000000006,2.1200000000000045,0.011221218303701545,0.07676105780482097,-0.06553983950111943,0.808340204971139,0.8579459893584981,-0.049605784387359075
1057888,Manipur,2015-08-01,1.12,13.23,-12.11,97.64,101.21,-3.569999999999993,117.65,122.2,-4.549999999999997,96.52,87.97999999999999,8.540000000000006,20.010000000000005,20.99000000000001,-0.980000000000004,0.011470708725931996,0.13071830846754273,-0.11924759974161074,0.8299192520186995,0.8282324058919803,0.0016868461267192103
1057893,Manipur,2015-08-01,0.91,5.31,-4.3999999999999995,101.57999999999998,82.66,18.919999999999987,121.42,101.37,20.049999999999997,100.66999999999999,77.35,23.319999999999993,19.840000000000018,18.710000000000008,1.1300000000000097,0.008958456389052965,0.06423905153641422,-0.05528059514736126,0.8366002306045132,0.8154286277991516,0.021171602805361567
1057815,Manipur,2015-08-01,1.12,6.56,-5.4399999999999995,97.64,85.46,12.180000000000007,117.65,99.61,18.040000000000006,96.52,78.89999999999999,17.620000000000005,20.010000000000005,14.150000000000006,5.859999999999999,0.011470708725931996,0.07676105780482097,-0.06529034907888898,0.8299192520186995,0.8579459893584981,-0.028026737339798546
1057810,Manipur,2015-08-01,2.01,8.7,-6.6899999999999995,81.19,110.35,-29.159999999999997,98.79999999999998,129.76999999999998,-30.97,79.17999999999999,101.64999999999999,-22.47,17.609999999999985,19.419999999999987,-1.8100000000000023,0.024756743441310503,0.07884005437245128,-0.054083310931140785,0.821761133603239,0.8503506203282731,-0.02858948672503414
